name,count,animal,year,location
MATILDA,15,0,"2017",Toronto
MOMO,15,0,"2017",Toronto
NEKO,15,0,"2017",Toronto
NELLIE,15,0,"2017",Toronto
NIKKI,15,0,"2017",Toronto
OTIS,15,0,"2017",Toronto
PEARL,15,0,"2017",Toronto
STAR,15,0,"2017",Toronto
STORM,15,0,"2017",Toronto
SUSIE,15,0,"2017",Toronto
TUX,15,0,"2017",Toronto
YODA,15,0,"2017",Toronto
APRIL,14,0,"2017",Toronto
BEAU,14,0,"2017",Toronto
BUBBLES,14,0,"2017",Toronto
BUFFY,14,0,"2017",Toronto
CLEMENTINE,14,0,"2017",Toronto
COCOA,14,0,"2017",Toronto
COSMO,14,0,"2017",Toronto
FINNEGAN,14,0,"2017",Toronto
GEORGIA,14,0,"2017",Toronto
GOLDIE,14,0,"2017",Toronto
HANK,14,0,"2017",Toronto
JACKIE,14,0,"2017",Toronto
JAZZ,14,0,"2017",Toronto
JENNY,14,0,"2017",Toronto
JIMMY,14,0,"2017",Toronto
LADY,14,0,"2017",Toronto
MARCO,14,0,"2017",Toronto
MARMALADE,14,0,"2017",Toronto
OZZY,14,0,"2017",Toronto
PARKER,14,0,"2017",Toronto
PETER,14,0,"2017",Toronto
PIPPA,14,0,"2017",Toronto
PIXIE,14,0,"2017",Toronto
ROO,14,0,"2017",Toronto
RUFUS,14,0,"2017",Toronto
TASHA,14,0,"2017",Toronto
TIA,14,0,"2017",Toronto
ARTHUR,13,0,"2017",Toronto
BEN,13,0,"2017",Toronto
BENTLEY,13,0,"2017",Toronto
BIANCA,13,0,"2017",Toronto
BRANDY,13,0,"2017",Toronto
CALVIN,13,0,"2017",Toronto
CASSIE,13,0,"2017",Toronto
CINDY,13,0,"2017",Toronto
CRYSTAL,13,0,"2017",Toronto
CUDDLES,13,0,"2017",Toronto
DIEGO,13,0,"2017",Toronto
EDDIE,13,0,"2017",Toronto
ERNIE,13,0,"2017",Toronto
GYPSY,13,0,"2017",Toronto
HEIDI,13,0,"2017",Toronto
IVY,13,0,"2017",Toronto
KIT KAT,13,0,"2017",Toronto
LEXI,13,0,"2017",Toronto
LOUISE,13,0,"2017",Toronto
MARBLE,13,0,"2017",Toronto
MINDY,13,0,"2017",Toronto
MORGAN,13,0,"2017",Toronto
MORRIS,13,0,"2017",Toronto
PIPPIN,13,0,"2017",Toronto
PUMA,13,0,"2017",Toronto
REMY,13,0,"2017",Toronto
SILVER,13,0,"2017",Toronto
SPOOKY,13,0,"2017",Toronto
SUNSHINE,13,0,"2017",Toronto
SWEET PEA,13,0,"2017",Toronto
TAFFY,13,0,"2017",Toronto
TINA,13,0,"2017",Toronto
ALLY,12,0,"2017",Toronto
BART,12,0,"2017",Toronto
BOO BOO,12,0,"2017",Toronto
BUBBA,12,0,"2017",Toronto
CHASE,12,0,"2017",Toronto
DUCHESS,12,0,"2017",Toronto
FERN,12,0,"2017",Toronto
FIONA,12,0,"2017",Toronto
FREDDY,12,0,"2017",Toronto
GABBY,12,0,"2017",Toronto
HAZEL,12,0,"2017",Toronto
KITTEN,12,0,"2017",Toronto
LILA,12,0,"2017",Toronto
LIZZIE,12,0,"2017",Toronto
LYNX,12,0,"2017",Toronto
MAPLE,12,0,"2017",Toronto
NO NAME 0,12,0,"2017",Toronto
OPAL,12,0,"2017",Toronto
OZZIE,12,0,"2017",Toronto
ROSE,12,0,"2017",Toronto
SAMPSON,12,0,"2017",Toronto
SAMSON,12,0,"2017",Toronto
SCAMP,12,0,"2017",Toronto
SNUGGLES,12,0,"2017",Toronto
SPOT,12,0,"2017",Toronto
SUZY,12,0,"2017",Toronto
TILLY,12,0,"2017",Toronto
TINKER,12,0,"2017",Toronto
TONY,12,0,"2017",Toronto
TUXEDO,12,0,"2017",Toronto
WALTER,12,0,"2017",Toronto
WILLIAM,12,0,"2017",Toronto
ZEUS,12,0,"2017",Toronto
AUDREY,11,0,"2017",Toronto
BENJAMIN,11,0,"2017",Toronto
0,11,0,"2017",Toronto
CLARA,11,0,"2017",Toronto
CODY,11,0,"2017",Toronto
DELILAH,11,0,"2017",Toronto
DIAMOND,11,0,"2017",Toronto
FRANK,11,0,"2017",Toronto
GARY,11,0,"2017",Toronto
JET,11,0,"2017",Toronto
JEWEL,11,0,"2017",Toronto
KIT,11,0,"2017",Toronto
LIAM,11,0,"2017",Toronto
LIZZY,11,0,"2017",Toronto
LOGAN,11,0,"2017",Toronto
LOU,11,0,"2017",Toronto
LOUIS,11,0,"2017",Toronto
MELODY,11,0,"2017",Toronto
MILA,11,0,"2017",Toronto
MISCHIEF,11,0,"2017",Toronto
MISHKA,11,0,"2017",Toronto
NEMO,11,0,"2017",Toronto
NEO,11,0,"2017",Toronto
NICKY,11,0,"2017",Toronto
NINJA,11,0,"2017",Toronto
PETUNIA,11,0,"2017",Toronto
PUFF,11,0,"2017",Toronto
RAVEN,11,0,"2017",Toronto
RINGO,11,0,"2017",Toronto
SARAH,11,0,"2017",Toronto
SCOOTER,11,0,"2017",Toronto
SIDNEY,11,0,"2017",Toronto
SNOWFLAKE,11,0,"2017",Toronto
SWEETIE,11,0,"2017",Toronto
TYSON,11,0,"2017",Toronto
VICTORIA,11,0,"2017",Toronto
ZELDA,11,0,"2017",Toronto
ZORRO,11,0,"2017",Toronto
ACE,10,0,"2017",Toronto
ALLEY,10,0,"2017",Toronto
ARTEMIS,10,0,"2017",Toronto
BASIL,10,0,"2017",Toronto
BEATRICE,10,0,"2017",Toronto
BEAUTY,10,0,"2017",Toronto
BISCUIT,10,0,"2017",Toronto
BLACKY,10,0,"2017",Toronto
BO,10,0,"2017",Toronto
CHEETAH,10,0,"2017",Toronto
CHELSEA,10,0,"2017",Toronto
DASH,10,0,"2017",Toronto
DIXIE,10,0,"2017",Toronto
DOMINO,10,0,"2017",Toronto
EARL,10,0,"2017",Toronto
EDWARD,10,0,"2017",Toronto
FANNY,10,0,"2017",Toronto
FRISKY,10,0,"2017",Toronto
GEMMA,10,0,"2017",Toronto
GILBERT,10,0,"2017",Toronto
HAPPY,10,0,"2017",Toronto
HOBBES,10,0,"2017",Toronto
HUGO,10,0,"2017",Toronto
JADE,10,0,"2017",Toronto
JAMES,10,0,"2017",Toronto
JESSIE,10,0,"2017",Toronto
JOHNNY,10,0,"2017",Toronto
LACEY,10,0,"2017",Toronto
LYLA,10,0,"2017",Toronto
MARBLES,10,0,"2017",Toronto
MARTY,10,0,"2017",Toronto
MICA,10,0,"2017",Toronto
MILES,10,0,"2017",Toronto
MILLY,10,0,"2017",Toronto
MITZI,10,0,"2017",Toronto
MOJO,10,0,"2017",Toronto
MONA,10,0,"2017",Toronto
MOZART,10,0,"2017",Toronto
MUFFY,10,0,"2017",Toronto
NICO,10,0,"2017",Toronto
NO NAME 2,10,0,"2017",Toronto
NORMAN,10,0,"2017",Toronto
PIP,10,0,"2017",Toronto
QUINCY,10,0,"2017",Toronto
RICKY,10,0,"2017",Toronto
RORY,10,0,"2017",Toronto
SEAMUS,10,0,"2017",Toronto
SHERLOCK,10,0,"2017",Toronto
SNOW,10,0,"2017",Toronto
SNOWY,10,0,"2017",Toronto
SPARKLES,10,0,"2017",Toronto
SPENCER,10,0,"2017",Toronto
STORMY,10,0,"2017",Toronto
TARA,10,0,"2017",Toronto
TIKI,10,0,"2017",Toronto
TWINKLE,10,0,"2017",Toronto
WATSON,10,0,"2017",Toronto
WILLY,10,0,"2017",Toronto
ALBERT,9,0,"2017",Toronto
ANDY,9,0,"2017",Toronto
APOLLO,9,0,"2017",Toronto
ARIEL,9,0,"2017",Toronto
ATHENA,9,0,"2017",Toronto
AUTUMN,9,0,"2017",Toronto
BIJOU,9,0,"2017",Toronto
BOBO,9,0,"2017",Toronto
BORIS,9,0,"2017",Toronto
BOWIE,9,0,"2017",Toronto
BUTTERSCOTCH,9,0,"2017",Toronto
BUTTON,9,0,"2017",Toronto
CARAMEL,9,0,"2017",Toronto
CLYDE,9,0,"2017",Toronto
DAPHNE,9,0,"2017",Toronto
ECHO,9,0,"2017",Toronto
EDDY,9,0,"2017",Toronto
EVA,9,0,"2017",Toronto
FOXY,9,0,"2017",Toronto
FRITZ,9,0,"2017",Toronto
GATSBY,9,0,"2017",Toronto
GREY,9,0,"2017",Toronto
GUCCI,9,0,"2017",Toronto
INDY,9,0,"2017",Toronto
JOE,9,0,"2017",Toronto
JOSIE,9,0,"2017",Toronto
JUNO,9,0,"2017",Toronto
KING,9,0,"2017",Toronto
KITKAT,9,0,"2017",Toronto
KOKO,9,0,"2017",Toronto
LEONARD,9,0,"2017",Toronto
LEWIS,9,0,"2017",Toronto
LINUS,9,0,"2017",Toronto
LIONEL,9,0,"2017",Toronto
LUCAS,9,0,"2017",Toronto
MABEL,9,0,"2017",Toronto
MANDY,9,0,"2017",Toronto
MIKA,9,0,"2017",Toronto
MIKE,9,0,"2017",Toronto
MIKI,9,0,"2017",Toronto
MIKO,9,0,"2017",Toronto
MOE,9,0,"2017",Toronto
MOOSE,9,0,"2017",Toronto
MOXIE,9,0,"2017",Toronto
MYA,9,0,"2017",Toronto
NIKO,9,0,"2017",Toronto
NO NAME 1,9,0,"2017",Toronto
NOAH,9,0,"2017",Toronto
NOVA,9,0,"2017",Toronto
ONYX,9,0,"2017",Toronto
PEPE,9,0,"2017",Toronto
PETEY,9,0,"2017",Toronto
QUEENIE,9,0,"2017",Toronto
REX,9,0,"2017",Toronto
SCRAPPY,9,0,"2017",Toronto
SKY,9,0,"2017",Toronto
STEWART,9,0,"2017",Toronto
SUZIE,9,0,"2017",Toronto
SYLVIE,9,0,"2017",Toronto
THUNDER,9,0,"2017",Toronto
TOOTSIE,9,0,"2017",Toronto
VIOLET,9,0,"2017",Toronto
ANNA,8,0,"2017",Toronto
APPLE,8,0,"2017",Toronto
ATTICUS,8,0,"2017",Toronto
AVA,8,0,"2017",Toronto
BATMAN,8,0,"2017",Toronto
BINX,8,0,"2017",Toronto
BLOSSOM,8,0,"2017",Toronto
BRUCE,8,0,"2017",Toronto
BRUTUS,8,0,"2017",Toronto
BUNNY,8,0,"2017",Toronto
CASH,8,0,"2017",Toronto
DAKOTA,8,0,"2017",Toronto
DAVE,8,0,"2017",Toronto
DUKE,8,0,"2017",Toronto
DYLAN,8,0,"2017",Toronto
FARLEY,8,0,"2017",Toronto
FRODO,8,0,"2017",Toronto
GLORIA,8,0,"2017",Toronto
GUINNESS,8,0,"2017",Toronto
HAMISH,8,0,"2017",Toronto
HECTOR,8,0,"2017",Toronto
HOWIE,8,0,"2017",Toronto
JESSE,8,0,"2017",Toronto
JOY,8,0,"2017",Toronto
KENNY,8,0,"2017",Toronto
LEIA,8,0,"2017",Toronto
MAISIE,8,0,"2017",Toronto
MAMA,8,0,"2017",Toronto
MAVERICK,8,0,"2017",Toronto
MAXINE,8,0,"2017",Toronto
MEW,8,0,"2017",Toronto
MICHAEL,8,0,"2017",Toronto
MITZY,8,0,"2017",Toronto
MUNCHKIN,8,0,"2017",Toronto
NIGEL,8,0,"2017",Toronto
PANDORA,8,0,"2017",Toronto
PANTHER,8,0,"2017",Toronto
PASHA,8,0,"2017",Toronto
PATCH,8,0,"2017",Toronto
PEDRO,8,0,"2017",Toronto
PEKOE,8,0,"2017",Toronto
PIERRE,8,0,"2017",Toronto
PUSS,8,0,"2017",Toronto
RALPH,8,0,"2017",Toronto
RAMONA,8,0,"2017",Toronto
RED,8,0,"2017",Toronto
SAGE,8,0,"2017",Toronto
SARA,8,0,"2017",Toronto
SNOOPY,8,0,"2017",Toronto
SOX,8,0,"2017",Toronto
SPEEDY,8,0,"2017",Toronto
SQUEAK,8,0,"2017",Toronto
STEVIE,8,0,"2017",Toronto
SUMMER,8,0,"2017",Toronto
TESSA,8,0,"2017",Toronto
TIM,8,0,"2017",Toronto
VELVET,8,0,"2017",Toronto
VENUS,8,0,"2017",Toronto
WILLIE,8,0,"2017",Toronto
WOODY,8,0,"2017",Toronto
YOSHI,8,0,"2017",Toronto
ALVIN,7,0,"2017",Toronto
ANNABELLE,7,0,"2017",Toronto
ARCHER,7,0,"2017",Toronto
BETSY,7,0,"2017",Toronto
BRUNO,7,0,"2017",Toronto
CASSIDY,7,0,"2017",Toronto
CHANEL,7,0,"2017",Toronto
CHEETO,7,0,"2017",Toronto
CHERRY,7,0,"2017",Toronto
CINDER,7,0,"2017",Toronto
CLAIRE,7,0,"2017",Toronto
COMET,7,0,"2017",Toronto
DANNY,7,0,"2017",Toronto
ELI,7,0,"2017",Toronto
EMMY,7,0,"2017",Toronto
FIFI,7,0,"2017",Toronto
FLUFF,7,0,"2017",Toronto
FLYNN,7,0,"2017",Toronto
FRANKLIN,7,0,"2017",Toronto
GANDALF,7,0,"2017",Toronto
HANNAH,7,0,"2017",Toronto
HUMPHREY,7,0,"2017",Toronto
IGGY,7,0,"2017",Toronto
JAX,7,0,"2017",Toronto
JERSEY,7,0,"2017",Toronto
JOJO,7,0,"2017",Toronto
KAT,7,0,"2017",Toronto
KIMI,7,0,"2017",Toronto
LEROY,7,0,"2017",Toronto
LITTLE ONE,7,0,"2017",Toronto
MACK,7,0,"2017",Toronto
MADELINE,7,0,"2017",Toronto
MAGIC,7,0,"2017",Toronto
MATTY,7,0,"2017",Toronto
MEOW MEOW,7,0,"2017",Toronto
MINI,7,0,"2017",Toronto
MONSTER,7,0,"2017",Toronto
NAPOLEON,7,0,"2017",Toronto
NELLY,7,0,"2017",Toronto
NELSON,7,0,"2017",Toronto
PATRICK,7,0,"2017",Toronto
PICKLES,7,0,"2017",Toronto
PICO,7,0,"2017",Toronto
PIXEL,7,0,"2017",Toronto
REGGIE,7,0,"2017",Toronto
RIPLEY,7,0,"2017",Toronto
RIVER,7,0,"2017",Toronto
ROCCO,7,0,"2017",Toronto
ROCKET,7,0,"2017",Toronto
SCARLETT,7,0,"2017",Toronto
SHYLA,7,0,"2017",Toronto
SIERRA,7,0,"2017",Toronto
SIMONE,7,0,"2017",Toronto
SMOKIE,7,0,"2017",Toronto
SNICKERS,7,0,"2017",Toronto
SPARKLE,7,0,"2017",Toronto
SPUNKY,7,0,"2017",Toronto
TEQUILA,7,0,"2017",Toronto
TIGER LILY,7,0,"2017",Toronto
TIPPY,7,0,"2017",Toronto
TJ,7,0,"2017",Toronto
VINNIE,7,0,"2017",Toronto
WALLY,7,0,"2017",Toronto
WENDY,7,0,"2017",Toronto
WILSON,7,0,"2017",Toronto
ZACK,7,0,"2017",Toronto
ZARA,7,0,"2017",Toronto
ABBEY,6,0,"2017",Toronto
ALFRED,6,0,"2017",Toronto
ALMOND,6,0,"2017",Toronto
AMELIA,6,0,"2017",Toronto
ASTRID,6,0,"2017",Toronto
BEBE,6,0,"2017",Toronto
BENJI,6,0,"2017",Toronto
BERT,6,0,"2017",Toronto
